Namespace(activation_fn='gelu', base_channel=32, base_sigma=0.0, batch={8: 256, 16: 256, 32: 128, 64: 128, 128: 64, 256: 32}, batch_default=128, bn=False, ckpt=None, conditional=True, cyclic=False, data_root='./data/', dataset='cifar10', device=0, eval_step=50, from_beginning=False, from_rgb_activate=False, init_size=8, initial='uniform', l2_coefficient=0.0, langevin_lr=2.0, langevin_step=100, load=False, lr={8: 0.001, 16: 0.0012, 32: 0.0015, 64: 0.0015, 128: 0.0015}, lr_default=0.0005, max_size=32, mode='train', name_suffix='step', noise_ratio=1.0, phase=1000000, pro=True, projection=True, res=True, run_dir='results/cifar10_step/00005-step100-trunc1.0-res32-lr2.0-uniform-ch32', save_path='results', sched=True, soft=True, spectral=True, split_bn=False, stats_path='./stats/cifar10.npz', truncation=1.0, val_clip=1.1)
Itr:      0 Kimg:        0, Alpha: 1.00, Res:   8, f(x_p_d)=  0.0713 f(x_q)=  0.3499
Itr:  21300 Kimg:     4726, Alpha: 0.73, Res:  32, f(x_p_d)=  2.1184 f(x_q)=  1.5566
Itr:  21400 Kimg:     4739, Alpha: 0.74, Res:  32, f(x_p_d)=  1.8236 f(x_q)=  1.7805
Itr:  21500 Kimg:     4752, Alpha: 0.75, Res:  32, f(x_p_d)=  2.1058 f(x_q)=  2.3935
Itr:  21600 Kimg:     4765, Alpha: 0.76, Res:  32, f(x_p_d)=  2.0780 f(x_q)=  2.3859
Itr:  21700 Kimg:     4777, Alpha: 0.78, Res:  32, f(x_p_d)=  2.1937 f(x_q)=  1.8391
Itr:  21800 Kimg:     4790, Alpha: 0.79, Res:  32, f(x_p_d)=  2.1928 f(x_q)=  1.7743
Itr:  21900 Kimg:     4803, Alpha: 0.80, Res:  32, f(x_p_d)=  2.5470 f(x_q)=  2.3505
Itr:  22000 Kimg:     4816, Alpha: 0.82, Res:  32, f(x_p_d)=  2.0322 f(x_q)=  2.6933
Itr:  22100 Kimg:     4829, Alpha: 0.83, Res:  32, f(x_p_d)=  2.3378 f(x_q)=  2.0085
Itr:  22200 Kimg:     4841, Alpha: 0.84, Res:  32, f(x_p_d)=  3.0578 f(x_q)=  3.2342
Itr:  22300 Kimg:     4854, Alpha: 0.85, Res:  32, f(x_p_d)=  3.2480 f(x_q)=  3.3319
Itr:  22400 Kimg:     4867, Alpha: 0.87, Res:  32, f(x_p_d)=  2.3534 f(x_q)=  2.3973
Itr:  22500 Kimg:     4880, Alpha: 0.88, Res:  32, f(x_p_d)=  2.3564 f(x_q)=  2.4422
Itr:  22600 Kimg:     4893, Alpha: 0.89, Res:  32, f(x_p_d)=  2.3747 f(x_q)=  1.9449
Itr:  22700 Kimg:     4905, Alpha: 0.91, Res:  32, f(x_p_d)=  2.6370 f(x_q)=  3.3796
Itr:  22800 Kimg:     4918, Alpha: 0.92, Res:  32, f(x_p_d)=  3.3818 f(x_q)=  4.2697
Itr:  22900 Kimg:     4931, Alpha: 0.93, Res:  32, f(x_p_d)=  2.6509 f(x_q)=  0.8842
Itr:  23000 Kimg:     4944, Alpha: 0.94, Res:  32, f(x_p_d)=  3.0397 f(x_q)=  3.4171
Itr:  23100 Kimg:     4957, Alpha: 0.96, Res:  32, f(x_p_d)=  3.5225 f(x_q)=  2.2883
Itr:  23200 Kimg:     4969, Alpha: 0.97, Res:  32, f(x_p_d)=  4.0939 f(x_q)=  5.0107
Itr:  23300 Kimg:     4982, Alpha: 0.98, Res:  32, f(x_p_d)=  3.2719 f(x_q)=  2.1777
Itr:  23400 Kimg:     4995, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1276 f(x_q)=  3.7815
Itr:  23500 Kimg:     5008, Alpha: 1.00, Res:  32, f(x_p_d)=  3.8564 f(x_q)=  3.9341
Itr:  23600 Kimg:     5021, Alpha: 1.00, Res:  32, f(x_p_d)=  3.5100 f(x_q)=  3.5358
Itr:  23700 Kimg:     5033, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2254 f(x_q)=  4.4385
Itr:  23800 Kimg:     5046, Alpha: 1.00, Res:  32, f(x_p_d)=  3.6685 f(x_q)=  3.4197
Itr:  23900 Kimg:     5059, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2886 f(x_q)=  6.7097
Itr:  24000 Kimg:     5072, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1475 f(x_q)=  3.8986
Calculate FID...
Itr:  24000, FID:    40.411
Itr:  24100 Kimg:     5085, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2750 f(x_q)=  4.0648
Itr:  24200 Kimg:     5097, Alpha: 1.00, Res:  32, f(x_p_d)=  3.5765 f(x_q)=  3.1235
Itr:  24300 Kimg:     5110, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3454 f(x_q)=  3.7033
Itr:  24400 Kimg:     5123, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3372 f(x_q)=  4.1595
Itr:  24500 Kimg:     5136, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5302 f(x_q)=  5.9861
Itr:  24600 Kimg:     5149, Alpha: 1.00, Res:  32, f(x_p_d)=  3.6202 f(x_q)=  3.9139
Itr:  24700 Kimg:     5161, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5100 f(x_q)=  5.3195
Itr:  24800 Kimg:     5174, Alpha: 1.00, Res:  32, f(x_p_d)=  3.7665 f(x_q)=  3.9345
Itr:  24900 Kimg:     5187, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7325 f(x_q)=  4.4592
Itr:  25000 Kimg:     5200, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9414 f(x_q)=  4.0720
Itr:  25100 Kimg:     5213, Alpha: 1.00, Res:  32, f(x_p_d)=  4.0721 f(x_q)=  3.6496
Itr:  25200 Kimg:     5225, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9795 f(x_q)=  4.1592
Itr:  25300 Kimg:     5238, Alpha: 1.00, Res:  32, f(x_p_d)=  5.1891 f(x_q)= 15.6191
Itr:  25400 Kimg:     5251, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1233 f(x_q)=  3.2074
Itr:  25500 Kimg:     5264, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4964 f(x_q)=  2.6425
Itr:  25600 Kimg:     5277, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2060 f(x_q)=  4.0268
Itr:  25700 Kimg:     5289, Alpha: 1.00, Res:  32, f(x_p_d)=  3.7782 f(x_q)=  2.7606
Itr:  25800 Kimg:     5302, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1986 f(x_q)=  4.1803
Itr:  25900 Kimg:     5315, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4912 f(x_q)=  3.4555
Itr:  26000 Kimg:     5328, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5805 f(x_q)=  4.3859
Calculate FID...
Itr:  26000, FID:    40.654
Itr:  26100 Kimg:     5341, Alpha: 1.00, Res:  32, f(x_p_d)=  3.5304 f(x_q)=  3.3193
Itr:  26200 Kimg:     5353, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2836 f(x_q)=  6.2174
Itr:  26300 Kimg:     5366, Alpha: 1.00, Res:  32, f(x_p_d)=  4.8514 f(x_q)=  5.1545
Itr:  26400 Kimg:     5379, Alpha: 1.00, Res:  32, f(x_p_d)=  4.0693 f(x_q)=  3.0268
Itr:  26500 Kimg:     5392, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5175 f(x_q)=  4.8856
Itr:  26600 Kimg:     5405, Alpha: 1.00, Res:  32, f(x_p_d)=  5.2338 f(x_q)=  4.0971
Itr:  26700 Kimg:     5417, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9367 f(x_q)=  4.8207
Itr:  26800 Kimg:     5430, Alpha: 1.00, Res:  32, f(x_p_d)=  3.7070 f(x_q)=  3.8390
Itr:  26900 Kimg:     5443, Alpha: 1.00, Res:  32, f(x_p_d)=  4.0168 f(x_q)=  3.8235
Itr:  27000 Kimg:     5456, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4973 f(x_q)=  3.7696
Itr:  27100 Kimg:     5469, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5535 f(x_q)=  4.5161
Itr:  27200 Kimg:     5481, Alpha: 1.00, Res:  32, f(x_p_d)=  4.0858 f(x_q)=  3.2548
Itr:  27300 Kimg:     5494, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2402 f(x_q)=  4.2971
Itr:  27400 Kimg:     5507, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9460 f(x_q)=  4.3767
Itr:  27500 Kimg:     5520, Alpha: 1.00, Res:  32, f(x_p_d)=  3.4835 f(x_q)=  2.9249
Itr:  27600 Kimg:     5533, Alpha: 1.00, Res:  32, f(x_p_d)=  4.0122 f(x_q)=  4.3946
Itr:  27700 Kimg:     5545, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3741 f(x_q)=  3.8789
Itr:  27800 Kimg:     5558, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1338 f(x_q)=  4.1197
Itr:  27900 Kimg:     5571, Alpha: 1.00, Res:  32, f(x_p_d)=  4.9708 f(x_q)=  3.5288
Itr:  28000 Kimg:     5584, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5935 f(x_q)=  4.4050
Calculate FID...
Itr:  28000, FID:    37.106
Itr:  28100 Kimg:     5597, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1765 f(x_q)=  3.2093
Itr:  28200 Kimg:     5609, Alpha: 1.00, Res:  32, f(x_p_d)=  3.2344 f(x_q)=  4.3451
Itr:  28300 Kimg:     5622, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7090 f(x_q)=  6.0378
Itr:  28400 Kimg:     5635, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2132 f(x_q)=  4.4559
Itr:  28500 Kimg:     5648, Alpha: 1.00, Res:  32, f(x_p_d)=  3.4803 f(x_q)=  4.0162
Itr:  28600 Kimg:     5661, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9776 f(x_q)=  4.8236
Itr:  28700 Kimg:     5673, Alpha: 1.00, Res:  32, f(x_p_d)=  5.1710 f(x_q)=  4.9611
Itr:  28800 Kimg:     5686, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2568 f(x_q)=  4.5305
Itr:  28900 Kimg:     5699, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9148 f(x_q)=  2.8062
Itr:  29000 Kimg:     5712, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5072 f(x_q)=  2.9301
Itr:  29100 Kimg:     5725, Alpha: 1.00, Res:  32, f(x_p_d)=  4.6680 f(x_q)=  4.7772
Itr:  29200 Kimg:     5737, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9019 f(x_q)=  4.8544
Itr:  29300 Kimg:     5750, Alpha: 1.00, Res:  32, f(x_p_d)=  4.8713 f(x_q)=  4.2067
Itr:  29400 Kimg:     5763, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5318 f(x_q)=  4.2011
Itr:  29500 Kimg:     5776, Alpha: 1.00, Res:  32, f(x_p_d)=  3.8957 f(x_q)=  5.1314
Itr:  29600 Kimg:     5789, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7543 f(x_q)=  4.0195
Itr:  29700 Kimg:     5801, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2774 f(x_q)=  4.9943
Itr:  29800 Kimg:     5814, Alpha: 1.00, Res:  32, f(x_p_d)=  4.0283 f(x_q)=  3.5554
Itr:  29900 Kimg:     5827, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4087 f(x_q)=  4.7374
Itr:  30000 Kimg:     5840, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2223 f(x_q)=  3.7017
Calculate FID...
Itr:  30000, FID:    60.271
Itr:  30100 Kimg:     5853, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4113 f(x_q)=  4.1169
Itr:  30200 Kimg:     5865, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7550 f(x_q)=  4.7569
Itr:  30300 Kimg:     5878, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4225 f(x_q)=  4.0206
Itr:  30400 Kimg:     5891, Alpha: 1.00, Res:  32, f(x_p_d)=  4.8529 f(x_q)=  5.1637
Itr:  30500 Kimg:     5904, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1950 f(x_q)=  4.5785
Itr:  30600 Kimg:     5917, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3259 f(x_q)=  4.1647
Itr:  30700 Kimg:     5929, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2593 f(x_q)=  4.8528
Itr:  30800 Kimg:     5942, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2370 f(x_q)=  4.3639
Itr:  30900 Kimg:     5955, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3357 f(x_q)=  3.6064
Itr:  31000 Kimg:     5968, Alpha: 1.00, Res:  32, f(x_p_d)=  4.8326 f(x_q)=  7.9213
Itr:  31100 Kimg:     5981, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9130 f(x_q)=  3.5460
Itr:  31200 Kimg:     5993, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3059 f(x_q)=  4.9767
Itr:  31300 Kimg:     6006, Alpha: 1.00, Res:  32, f(x_p_d)=  4.6939 f(x_q)=  3.2426
Itr:  31400 Kimg:     6019, Alpha: 1.00, Res:  32, f(x_p_d)=  4.0333 f(x_q)=  4.0403
Itr:  31500 Kimg:     6032, Alpha: 1.00, Res:  32, f(x_p_d)=  3.3614 f(x_q)=  3.8758
Itr:  31600 Kimg:     6045, Alpha: 1.00, Res:  32, f(x_p_d)=  3.1439 f(x_q)=  2.2725
Itr:  31700 Kimg:     6057, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5765 f(x_q)=  5.1677
Itr:  31800 Kimg:     6070, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1579 f(x_q)=  3.5888
Itr:  31900 Kimg:     6083, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2300 f(x_q)=  4.8600
Itr:  32000 Kimg:     6096, Alpha: 1.00, Res:  32, f(x_p_d)=  3.7366 f(x_q)=  4.3015
Calculate FID...
Itr:  32000, FID:    35.305
Itr:  32100 Kimg:     6109, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2735 f(x_q)=  2.7827
Itr:  32200 Kimg:     6121, Alpha: 1.00, Res:  32, f(x_p_d)=  3.5637 f(x_q)=  2.9356
Itr:  32300 Kimg:     6134, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3711 f(x_q)=  4.4790
Itr:  32400 Kimg:     6147, Alpha: 1.00, Res:  32, f(x_p_d)=  4.8600 f(x_q)=  3.9269
Itr:  32500 Kimg:     6160, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2124 f(x_q)=  3.9227
Itr:  32600 Kimg:     6173, Alpha: 1.00, Res:  32, f(x_p_d)=  3.7489 f(x_q)=  3.9266
Itr:  32700 Kimg:     6185, Alpha: 1.00, Res:  32, f(x_p_d)=  4.9421 f(x_q)=  3.7801
Itr:  32800 Kimg:     6198, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3475 f(x_q)=  4.4472
Itr:  32900 Kimg:     6211, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2864 f(x_q)=  3.7287
Itr:  33000 Kimg:     6224, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9633 f(x_q)=  4.9046
Itr:  33100 Kimg:     6237, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7875 f(x_q)=  4.6664
Itr:  33200 Kimg:     6249, Alpha: 1.00, Res:  32, f(x_p_d)=  3.5839 f(x_q)=  3.7675
Itr:  33300 Kimg:     6262, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9225 f(x_q)=  4.6063
Itr:  33400 Kimg:     6275, Alpha: 1.00, Res:  32, f(x_p_d)=  4.0826 f(x_q)=  3.3796
Itr:  33500 Kimg:     6288, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9738 f(x_q)=  4.2812
Itr:  33600 Kimg:     6301, Alpha: 1.00, Res:  32, f(x_p_d)=  6.4105 f(x_q)=  5.2791
Itr:  33700 Kimg:     6313, Alpha: 1.00, Res:  32, f(x_p_d)=  4.8845 f(x_q)=  7.0944
Itr:  33800 Kimg:     6326, Alpha: 1.00, Res:  32, f(x_p_d)=  5.0504 f(x_q)=  7.3511
Itr:  33900 Kimg:     6339, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2161 f(x_q)=  4.5062
Itr:  34000 Kimg:     6352, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5794 f(x_q)=  4.9132
Calculate FID...
Itr:  34000, FID:    41.882
Itr:  34100 Kimg:     6365, Alpha: 1.00, Res:  32, f(x_p_d)=  5.1824 f(x_q)=  4.1596
Itr:  34200 Kimg:     6377, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5378 f(x_q)=  4.9996
Itr:  34300 Kimg:     6390, Alpha: 1.00, Res:  32, f(x_p_d)=  5.1645 f(x_q)=  4.3538
Itr:  34400 Kimg:     6403, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7666 f(x_q)=  4.2368
Itr:  34500 Kimg:     6416, Alpha: 1.00, Res:  32, f(x_p_d)=  4.8671 f(x_q)=  5.2562
Itr:  34600 Kimg:     6429, Alpha: 1.00, Res:  32, f(x_p_d)=  5.3414 f(x_q)=  5.1771
Itr:  34700 Kimg:     6441, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2005 f(x_q)=  4.3696
Itr:  34800 Kimg:     6454, Alpha: 1.00, Res:  32, f(x_p_d)=  4.0092 f(x_q)=  3.9981
Itr:  34900 Kimg:     6467, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7908 f(x_q)=  5.7964
Itr:  35000 Kimg:     6480, Alpha: 1.00, Res:  32, f(x_p_d)=  5.7990 f(x_q)=  6.7254
Itr:  35100 Kimg:     6493, Alpha: 1.00, Res:  32, f(x_p_d)=  5.5073 f(x_q)=  6.0553
Itr:  35200 Kimg:     6505, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7700 f(x_q)=  4.9571
Itr:  35300 Kimg:     6518, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7086 f(x_q)=  4.0303
Itr:  35400 Kimg:     6531, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5394 f(x_q)=  4.6076
Itr:  35500 Kimg:     6544, Alpha: 1.00, Res:  32, f(x_p_d)=  3.7605 f(x_q)=  4.5429
Itr:  35600 Kimg:     6557, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2025 f(x_q)=  4.0265
Itr:  35700 Kimg:     6569, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4368 f(x_q)=  4.1672
Itr:  35800 Kimg:     6582, Alpha: 1.00, Res:  32, f(x_p_d)=  4.9809 f(x_q)=  4.6384
Itr:  35900 Kimg:     6595, Alpha: 1.00, Res:  32, f(x_p_d)=  5.5340 f(x_q)=  3.9170
Itr:  36000 Kimg:     6608, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5039 f(x_q)=  4.1984
Calculate FID...
Itr:  36000, FID:    36.642
Itr:  36100 Kimg:     6621, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9153 f(x_q)=  3.4013
Itr:  36200 Kimg:     6633, Alpha: 1.00, Res:  32, f(x_p_d)=  4.8463 f(x_q)=  3.9924
Itr:  36300 Kimg:     6646, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9860 f(x_q)=  3.5413
Itr:  36400 Kimg:     6659, Alpha: 1.00, Res:  32, f(x_p_d)=  4.6307 f(x_q)=  5.4432
Itr:  36500 Kimg:     6672, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3436 f(x_q)=  3.9898
Itr:  36600 Kimg:     6685, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4190 f(x_q)=  5.7714
Itr:  36700 Kimg:     6697, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5849 f(x_q)=  4.3481
Itr:  36800 Kimg:     6710, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1730 f(x_q)=  2.6930
Itr:  36900 Kimg:     6723, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5901 f(x_q)=  5.4398
Itr:  37000 Kimg:     6736, Alpha: 1.00, Res:  32, f(x_p_d)=  5.0759 f(x_q)=  4.4105
Itr:  37100 Kimg:     6749, Alpha: 1.00, Res:  32, f(x_p_d)=  3.8298 f(x_q)=  4.8134
Itr:  37200 Kimg:     6761, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3154 f(x_q)=  9.4655
Itr:  37300 Kimg:     6774, Alpha: 1.00, Res:  32, f(x_p_d)=  4.6204 f(x_q)=  3.2285
Itr:  37400 Kimg:     6787, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1573 f(x_q)=  4.8395
Itr:  37500 Kimg:     6800, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5392 f(x_q)=  4.6182
Itr:  37600 Kimg:     6813, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5694 f(x_q)=  6.6158
Itr:  37700 Kimg:     6825, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5547 f(x_q)=  4.1751
Itr:  37800 Kimg:     6838, Alpha: 1.00, Res:  32, f(x_p_d)=  4.6106 f(x_q)=  4.6141
Itr:  37900 Kimg:     6851, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1171 f(x_q)=  3.8632
Itr:  38000 Kimg:     6864, Alpha: 1.00, Res:  32, f(x_p_d)=  3.8093 f(x_q)=  4.7107
Calculate FID...
Itr:  38000, FID:    36.495
Itr:  38100 Kimg:     6877, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2579 f(x_q)=  3.7268
Itr:  38200 Kimg:     6889, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3403 f(x_q)=  2.9783
Itr:  38300 Kimg:     6902, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4399 f(x_q)=  4.2451
Itr:  38400 Kimg:     6915, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7004 f(x_q)=  4.9469
Itr:  38500 Kimg:     6928, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1348 f(x_q)=  5.2496
Itr:  38600 Kimg:     6941, Alpha: 1.00, Res:  32, f(x_p_d)=  4.9465 f(x_q)=  4.6197
Itr:  38700 Kimg:     6953, Alpha: 1.00, Res:  32, f(x_p_d)=  4.1160 f(x_q)=  4.0448
Itr:  38800 Kimg:     6966, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3192 f(x_q)=  3.9819
Itr:  38900 Kimg:     6979, Alpha: 1.00, Res:  32, f(x_p_d)=  4.6288 f(x_q)=  5.1755
Itr:  39000 Kimg:     6992, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5672 f(x_q)=  3.8248
Itr:  39100 Kimg:     7005, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2265 f(x_q)=  4.6379
Itr:  39200 Kimg:     7017, Alpha: 1.00, Res:  32, f(x_p_d)=  4.0749 f(x_q)=  4.3641
Itr:  39300 Kimg:     7030, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5083 f(x_q)=  4.7367
Itr:  39400 Kimg:     7043, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7803 f(x_q)=  4.8870
Itr:  39500 Kimg:     7056, Alpha: 1.00, Res:  32, f(x_p_d)=  4.6630 f(x_q)=  3.1580
Itr:  39600 Kimg:     7069, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3876 f(x_q)=  4.1747
Itr:  39700 Kimg:     7081, Alpha: 1.00, Res:  32, f(x_p_d)=  4.0625 f(x_q)=  6.0787
Itr:  39800 Kimg:     7094, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2928 f(x_q)=  4.4270
Itr:  39900 Kimg:     7107, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4230 f(x_q)=  3.7574
Itr:  40000 Kimg:     7120, Alpha: 1.00, Res:  32, f(x_p_d)=  4.6333 f(x_q)=  4.2693
Calculate FID...
Itr:  40000, FID:    34.171
Itr:  40100 Kimg:     7133, Alpha: 1.00, Res:  32, f(x_p_d)=  4.6011 f(x_q)=  2.6450
Itr:  40200 Kimg:     7145, Alpha: 1.00, Res:  32, f(x_p_d)=  5.0423 f(x_q)=  4.2584
Itr:  40300 Kimg:     7158, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7866 f(x_q)=  4.7981
Itr:  40400 Kimg:     7171, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5046 f(x_q)=  4.2048
Itr:  40500 Kimg:     7184, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7994 f(x_q)=  4.0137
Itr:  40600 Kimg:     7197, Alpha: 1.00, Res:  32, f(x_p_d)=  3.8939 f(x_q)=  3.1985
Itr:  40700 Kimg:     7209, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9059 f(x_q)=  3.9276
Itr:  40800 Kimg:     7222, Alpha: 1.00, Res:  32, f(x_p_d)=  4.6970 f(x_q)=  4.2943
Itr:  40900 Kimg:     7235, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4486 f(x_q)=  6.4102
Itr:  41000 Kimg:     7248, Alpha: 1.00, Res:  32, f(x_p_d)=  3.9070 f(x_q)=  3.7392
Itr:  41100 Kimg:     7261, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7870 f(x_q)=  3.6141
Itr:  41200 Kimg:     7273, Alpha: 1.00, Res:  32, f(x_p_d)=  4.6306 f(x_q)=  4.0111
Itr:  41300 Kimg:     7286, Alpha: 1.00, Res:  32, f(x_p_d)=  4.7421 f(x_q)=  3.0519
Itr:  41400 Kimg:     7299, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4821 f(x_q)=  4.1430
Itr:  41500 Kimg:     7312, Alpha: 1.00, Res:  32, f(x_p_d)=  4.8932 f(x_q)=  5.5539
Itr:  41600 Kimg:     7325, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3617 f(x_q)=  4.6489
Itr:  41700 Kimg:     7337, Alpha: 1.00, Res:  32, f(x_p_d)=  4.9156 f(x_q)=  4.7717
Itr:  41800 Kimg:     7350, Alpha: 1.00, Res:  32, f(x_p_d)=  3.2232 f(x_q)=  3.6492
Itr:  41900 Kimg:     7363, Alpha: 1.00, Res:  32, f(x_p_d)=  4.5749 f(x_q)=  4.5694
Itr:  42000 Kimg:     7376, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3664 f(x_q)=  3.3658
Calculate FID...
Itr:  42000, FID:    27.130
Itr:  42100 Kimg:     7389, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2003 f(x_q)=  2.4412
Itr:  42200 Kimg:     7401, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4273 f(x_q)=  2.1362
Itr:  42300 Kimg:     7414, Alpha: 1.00, Res:  32, f(x_p_d)=  4.2478 f(x_q)=  6.5105
Itr:  42400 Kimg:     7427, Alpha: 1.00, Res:  32, f(x_p_d)=  5.0371 f(x_q)=  4.7706
Itr:  42500 Kimg:     7440, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3648 f(x_q)=  3.9953
Itr:  42600 Kimg:     7453, Alpha: 1.00, Res:  32, f(x_p_d)=  4.4537 f(x_q)=  5.1712
Itr:  42700 Kimg:     7465, Alpha: 1.00, Res:  32, f(x_p_d)=  3.8062 f(x_q)=  3.2942
Itr:  42800 Kimg:     7478, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3621 f(x_q)=  4.2646
Itr:  42900 Kimg:     7491, Alpha: 1.00, Res:  32, f(x_p_d)=  4.3933 f(x_q)=  3.7549
